word,best_response
KIND,Kind helps me achieve my goals.
LOVE,Love helps me achieve my goals.
HAPPY,Happy helps me achieve my goals.
CARE,Care helps me achieve my goals.
TRUST,Consistent trust leads to strong leadership.
HELP,My actions reflect help daily.
GIVE,My actions reflect give daily.
BRAVE,Consistent brave leads to strong leadership.
INSPIRE,My actions reflect inspire daily.
MOTIVATE,Consistent motivate leads to strong leadership.
EFFORT,Effort helps me achieve my goals.
STRENGTH,Strength helps me achieve my goals.
RESCUE,Rescue helps me achieve my goals.
HONESTY,My actions reflect honesty daily.
PERSISTENCE,I believe in persistence as a core value.
DISCIPLINE,I believe in discipline as a core value.
INTEGRITY,I show integrity in every challenge I face.
OPTIMISM,My actions reflect optimism daily.
INITIATIVE,I show initiative in every challenge I face.
TREE,The tree supports better decisions.
ROAD,The road supports better decisions.
BOOK,The book is essential in daily planning.
MEAL,I value every meal as a learning opportunity.
SUN,The sun is essential in daily planning.
TIME,The time supports better decisions.
WALK,The walk is essential in daily planning.
WATER,I use the water to complete tasks effectively.
OBJECT,The object is essential in daily planning.
BALANCE,I value every balance as a learning opportunity.
ORDER,I use the order to complete tasks effectively.
SYSTEM,I make the best use of available system.
PLAN,I use the plan to complete tasks effectively.
METHOD,The method is essential in daily planning.
GROUP,I value every group as a learning opportunity.
STRUCTURE,I use the structure to complete tasks effectively.
SITUATION,I use the situation to complete tasks effectively.
CIRCUMSTANCE,I make the best use of available circumstance.
OPPORTUNITY,I make the best use of available opportunity.
VARIABLE,The variable is essential in daily planning.
LOSS,I overcome loss through focus and resilience.
HURT,Hurt teaches me to grow stronger.
CRY,I learn from cry to become better.
RISK,I face risk with courage and clarity.
LATE,Each late is a step toward improvement.
PAIN,I learn from pain to become better.
FALL,I face fall with courage and clarity.
FEAR,Fear teaches me to grow stronger.
CONFLICT,Conflict teaches me to grow stronger.
PRESSURE,I learn from pressure to become better.
ANXIETY,I face anxiety with courage and clarity.
FAILURE,I learn from failure to become better.
ANGER,I overcome anger through focus and resilience.
STRESS,Stress teaches me to grow stronger.
DEFEAT,I overcome defeat through focus and resilience.
FEARFUL,I overcome fearful through focus and resilience.
RESISTANCE,Resistance teaches me to grow stronger.
DISASTER,Each disaster is a step toward improvement.
CRISIS,Crisis teaches me to grow stronger.
EXTRAWORD58,I handle extraword58 with professionalism and skill.
EXTRAWORD59,I handle extraword59 with professionalism and skill.
EXTRAWORD60,I handle extraword60 with professionalism and skill.
EXTRAWORD61,I handle extraword61 with professionalism and skill.
EXTRAWORD62,I handle extraword62 with professionalism and skill.
EXTRAWORD63,I handle extraword63 with professionalism and skill.
EXTRAWORD64,I handle extraword64 with professionalism and skill.
EXTRAWORD65,I handle extraword65 with professionalism and skill.
EXTRAWORD66,I handle extraword66 with professionalism and skill.
EXTRAWORD67,I handle extraword67 with professionalism and skill.
EXTRAWORD68,I handle extraword68 with professionalism and skill.
EXTRAWORD69,I handle extraword69 with professionalism and skill.
EXTRAWORD70,I handle extraword70 with professionalism and skill.
EXTRAWORD71,I handle extraword71 with professionalism and skill.
EXTRAWORD72,I handle extraword72 with professionalism and skill.
EXTRAWORD73,I handle extraword73 with professionalism and skill.
EXTRAWORD74,I handle extraword74 with professionalism and skill.
EXTRAWORD75,I handle extraword75 with professionalism and skill.
EXTRAWORD76,I handle extraword76 with professionalism and skill.
EXTRAWORD77,I handle extraword77 with professionalism and skill.
EXTRAWORD78,I handle extraword78 with professionalism and skill.
EXTRAWORD79,I handle extraword79 with professionalism and skill.
EXTRAWORD80,I handle extraword80 with professionalism and skill.
EXTRAWORD81,I handle extraword81 with professionalism and skill.
EXTRAWORD82,I handle extraword82 with professionalism and skill.
EXTRAWORD83,I handle extraword83 with professionalism and skill.
EXTRAWORD84,I handle extraword84 with professionalism and skill.
EXTRAWORD85,I handle extraword85 with professionalism and skill.
EXTRAWORD86,I handle extraword86 with professionalism and skill.
EXTRAWORD87,I handle extraword87 with professionalism and skill.
EXTRAWORD88,I handle extraword88 with professionalism and skill.
EXTRAWORD89,I handle extraword89 with professionalism and skill.
EXTRAWORD90,I handle extraword90 with professionalism and skill.
EXTRAWORD91,I handle extraword91 with professionalism and skill.
EXTRAWORD92,I handle extraword92 with professionalism and skill.
EXTRAWORD93,I handle extraword93 with professionalism and skill.
EXTRAWORD94,I handle extraword94 with professionalism and skill.
EXTRAWORD95,I handle extraword95 with professionalism and skill.
EXTRAWORD96,I handle extraword96 with professionalism and skill.
EXTRAWORD97,I handle extraword97 with professionalism and skill.
EXTRAWORD98,I handle extraword98 with professionalism and skill.
EXTRAWORD99,I handle extraword99 with professionalism and skill.
EXTRAWORD100,I handle extraword100 with professionalism and skill.
EXTRAWORD101,I handle extraword101 with professionalism and skill.
EXTRAWORD102,I handle extraword102 with professionalism and skill.
EXTRAWORD103,I handle extraword103 with professionalism and skill.
EXTRAWORD104,I handle extraword104 with professionalism and skill.
EXTRAWORD105,I handle extraword105 with professionalism and skill.
EXTRAWORD106,I handle extraword106 with professionalism and skill.
EXTRAWORD107,I handle extraword107 with professionalism and skill.
EXTRAWORD108,I handle extraword108 with professionalism and skill.
EXTRAWORD109,I handle extraword109 with professionalism and skill.
EXTRAWORD110,I handle extraword110 with professionalism and skill.
EXTRAWORD111,I handle extraword111 with professionalism and skill.
EXTRAWORD112,I handle extraword112 with professionalism and skill.
EXTRAWORD113,I handle extraword113 with professionalism and skill.
EXTRAWORD114,I handle extraword114 with professionalism and skill.
EXTRAWORD115,I handle extraword115 with professionalism and skill.
EXTRAWORD116,I handle extraword116 with professionalism and skill.
EXTRAWORD117,I handle extraword117 with professionalism and skill.
EXTRAWORD118,I handle extraword118 with professionalism and skill.
EXTRAWORD119,I handle extraword119 with professionalism and skill.
EXTRAWORD120,I handle extraword120 with professionalism and skill.
EXTRAWORD121,I handle extraword121 with professionalism and skill.
EXTRAWORD122,I handle extraword122 with professionalism and skill.
EXTRAWORD123,I handle extraword123 with professionalism and skill.
EXTRAWORD124,I handle extraword124 with professionalism and skill.
EXTRAWORD125,I handle extraword125 with professionalism and skill.
EXTRAWORD126,I handle extraword126 with professionalism and skill.
EXTRAWORD127,I handle extraword127 with professionalism and skill.
EXTRAWORD128,I handle extraword128 with professionalism and skill.
EXTRAWORD129,I handle extraword129 with professionalism and skill.
EXTRAWORD130,I handle extraword130 with professionalism and skill.
EXTRAWORD131,I handle extraword131 with professionalism and skill.
EXTRAWORD132,I handle extraword132 with professionalism and skill.
EXTRAWORD133,I handle extraword133 with professionalism and skill.
EXTRAWORD134,I handle extraword134 with professionalism and skill.
EXTRAWORD135,I handle extraword135 with professionalism and skill.
EXTRAWORD136,I handle extraword136 with professionalism and skill.
EXTRAWORD137,I handle extraword137 with professionalism and skill.
EXTRAWORD138,I handle extraword138 with professionalism and skill.
EXTRAWORD139,I handle extraword139 with professionalism and skill.
EXTRAWORD140,I handle extraword140 with professionalism and skill.
EXTRAWORD141,I handle extraword141 with professionalism and skill.
EXTRAWORD142,I handle extraword142 with professionalism and skill.
EXTRAWORD143,I handle extraword143 with professionalism and skill.
EXTRAWORD144,I handle extraword144 with professionalism and skill.
EXTRAWORD145,I handle extraword145 with professionalism and skill.
EXTRAWORD146,I handle extraword146 with professionalism and skill.
EXTRAWORD147,I handle extraword147 with professionalism and skill.
EXTRAWORD148,I handle extraword148 with professionalism and skill.
EXTRAWORD149,I handle extraword149 with professionalism and skill.
EXTRAWORD150,I handle extraword150 with professionalism and skill.
EXTRAWORD151,I handle extraword151 with professionalism and skill.
EXTRAWORD152,I handle extraword152 with professionalism and skill.
EXTRAWORD153,I handle extraword153 with professionalism and skill.
EXTRAWORD154,I handle extraword154 with professionalism and skill.
EXTRAWORD155,I handle extraword155 with professionalism and skill.
EXTRAWORD156,I handle extraword156 with professionalism and skill.
EXTRAWORD157,I handle extraword157 with professionalism and skill.
EXTRAWORD158,I handle extraword158 with professionalism and skill.
EXTRAWORD159,I handle extraword159 with professionalism and skill.
EXTRAWORD160,I handle extraword160 with professionalism and skill.
EXTRAWORD161,I handle extraword161 with professionalism and skill.
EXTRAWORD162,I handle extraword162 with professionalism and skill.
EXTRAWORD163,I handle extraword163 with professionalism and skill.
EXTRAWORD164,I handle extraword164 with professionalism and skill.
EXTRAWORD165,I handle extraword165 with professionalism and skill.
EXTRAWORD166,I handle extraword166 with professionalism and skill.
EXTRAWORD167,I handle extraword167 with professionalism and skill.
EXTRAWORD168,I handle extraword168 with professionalism and skill.
EXTRAWORD169,I handle extraword169 with professionalism and skill.
EXTRAWORD170,I handle extraword170 with professionalism and skill.
EXTRAWORD171,I handle extraword171 with professionalism and skill.
EXTRAWORD172,I handle extraword172 with professionalism and skill.
EXTRAWORD173,I handle extraword173 with professionalism and skill.
EXTRAWORD174,I handle extraword174 with professionalism and skill.
EXTRAWORD175,I handle extraword175 with professionalism and skill.
EXTRAWORD176,I handle extraword176 with professionalism and skill.
EXTRAWORD177,I handle extraword177 with professionalism and skill.
EXTRAWORD178,I handle extraword178 with professionalism and skill.
EXTRAWORD179,I handle extraword179 with professionalism and skill.
EXTRAWORD180,I handle extraword180 with professionalism and skill.
EXTRAWORD181,I handle extraword181 with professionalism and skill.
EXTRAWORD182,I handle extraword182 with professionalism and skill.
EXTRAWORD183,I handle extraword183 with professionalism and skill.
